title,model,series,max_head_m,nominal_head_m,max_flow_original,max_flow_l_min,nominal_flow_original,nominal_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,status
Погружной скважинный насос SUMOTO 3OPC4/26,3OPC4/26,Sumoto 3SHM,88,68,4.8 м3/час,80,2.4 м3/час,40,230,,"78 мм (3"")",78,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm4_26/,ok
Погружной скважинный насос SUMOTO 3OPC4/14,3SHM4/14,Sumoto 3SHM,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm4_14/,missing_data
Погружной скважинный насос SUMOTO 3OPC2.5/7,3OPC2.5/7,Sumoto 3SHM,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm2_5_7/,missing_data
Погружной скважинный насос SUMOTO 3OPC2.5/5,3OPC2.5/5,Sumoto 3SHM,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm2_5_5/,missing_data
Погружной скважинный насос SUMOTO 3OPC2.5/36,3OPC2.5/36,Sumoto 3SHM,156,133,3.6 м3/час,60,1.8 м3/час,30,230,,"78 мм (3"")",78,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm25_36/,ok
Погружной скважинный насос SUMOTO 3OPC2.5/28,3OPC2.5/28,Sumoto 3SHM,122,104,3.6 м3/час,60,1.8 м3/час,30,230,,"78 мм (3"")",78,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm25_28/,ok
Погружной скважинный насос SUMOTO 3OPC2.5/20,3OPC2.5/20,Sumoto 3SHM,87,74,3.6 м3/час,60,"1,8 м3/час",30,230,,"78 мм (3"")",78,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm25_20/,ok
Погружной скважинный насос SUMOTO 3OPC2.5/15,3OPC2.5/15,Sumoto 3SHM,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm2_5_10/,missing_data
Погружной скважинный насос SUMOTO 3OPC2.5/10,3OPC2.5/10,Sumoto 3SHM,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm25_10/,missing_data
Погружной скважинный насос SUMOTO 3OPC1.8/7,3OPC1.8/7,Sumoto 3SHM,,,,,,,,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_3shm1_8_7/,missing_data
